                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     61,                0.61526,                0.36244,                 1.0119,                 0.8913,                0.73871,                0.81118,                0.63128,                0.86177,                 1.3561,                 1.2001,             0.00046206,             0.00046206,             0.00046206
                     62,                0.62142,                0.36023,                 1.0118,                0.89625,                0.73785,                0.79374,                0.60567,                0.89772,                 1.4298,                  1.231,             0.00045107,             0.00045107,             0.00045107
                     63,                0.63098,                0.36356,                0.99919,                0.89581,                0.74014,                0.81157,                0.63145,                0.88725,                 1.2768,                 1.2259,             0.00044007,             0.00044007,             0.00044007
                     64,                0.60641,                0.35935,                0.99616,                0.83298,                0.82671,                 0.8523,                0.66037,                0.90453,                 1.1466,                 1.2364,             0.00042907,             0.00042907,             0.00042907
                     65,                0.61242,                 0.3543,                 1.0003,                0.82408,                0.85824,                0.86894,                 0.6701,                0.87221,                 1.0498,                 1.2256,             0.00041807,             0.00041807,             0.00041807
                     66,                0.57447,                0.34147,                0.97892,                0.87034,                0.80044,                0.84554,                0.65609,                0.88143,                 1.2413,                 1.2306,             0.00040707,             0.00040707,             0.00040707
                     67,                0.58788,                0.32844,                0.97715,                0.89426,                0.73888,                0.82856,                0.64179,                0.90055,                 1.4245,                 1.2642,             0.00039607,             0.00039607,             0.00039607
                     68,                0.58777,                0.35981,                 1.0069,                 0.8373,                  0.812,                0.82359,                0.65447,                0.88436,                 1.3382,                 1.2367,             0.00038507,             0.00038507,             0.00038507
                     69,                0.56213,                0.33084,                0.97034,                0.89296,                0.74061,                 0.8201,                0.64872,                0.87133,                 1.3479,                 1.2108,             0.00037407,             0.00037407,             0.00037407
                     70,                0.58635,                 0.3458,                0.98459,                0.89049,                 0.7456,                0.81504,                0.64355,                0.86807,                 1.3742,                 1.2059,             0.00036307,             0.00036307,             0.00036307
                     71,                0.55101,                0.32628,                0.96042,                0.88972,                 0.7414,                0.82733,                0.63806,                0.87969,                 1.3901,                 1.2157,             0.00035208,             0.00035208,             0.00035208
                     72,                0.57613,                0.31585,                0.98319,                0.84072,                0.75567,                 0.7987,                0.61383,                0.85801,                 1.3599,                 1.2081,             0.00034108,             0.00034108,             0.00034108
                     73,                0.56209,                 0.3107,                0.98079,                 0.8401,                0.76411,                0.82987,                0.63343,                0.88824,                 1.2891,                 1.2416,             0.00033008,             0.00033008,             0.00033008
                     74,                0.57239,                0.33508,                0.98421,                0.84999,                0.83499,                0.88711,                0.69419,                0.87977,                 1.1133,                 1.2277,             0.00031908,             0.00031908,             0.00031908
                     75,                0.57409,                0.33096,                 0.9873,                0.84176,                 0.8646,                0.88168,                0.69943,                0.86718,                  1.055,                 1.2223,             0.00030808,             0.00030808,             0.00030808
                     76,                 0.5604,                0.32822,                0.97093,                0.83607,                 0.8449,                0.85077,                0.65343,                0.85991,                 1.1603,                 1.2001,             0.00029708,             0.00029708,             0.00029708
